"","wfrid","cid","Rd","x"
"1","11261","a1",52.7,1
"2","11261","a10",364.5,2
"3","11261","a2",237,3
"4","11261","a3",672.7,4
"5","11261","a4",550.5,5
"6","11261","a5",970.6,6
"7","11261","a6",927.7,7
"8","11261","a7",87.1,8
"9","11261","a8",270.4,9
"10","11261","a9",503.9,10
"11","11261","b1",126.9,11
"12","11261","b10",822.7,12
"13","11261","b2",929.1,13
"14","11261","b3",222.2,14
"15","11261","b4",977.4,15
"16","11261","b5",1024.9,16
"17","11261","b6",623.2,17
"18","11261","b7",263.1,18
"19","11261","b8",44.4,19
"20","11261","b9",273.5,20
"21","11261","c1",922.9,21
"22","11261","c10",470.2,22
"23","11261","c2",351.1,23
"24","11261","c3",490.7,24
"25","11261","c4",639.4,25
"26","11261","c5",803,26
"27","11261","c6",592.2,27
"28","11261","c7",600.4,28
"29","11261","c8",88.8,29
"30","11261","c9",95.2,30
"31","11261","d1",421.3,31
"32","11261","d10",841,32
"33","11261","d2",968.5,33
"34","11261","d3",474.7,34
"35","11261","d4",77.3,35
"36","11261","d5",159.8,36
"37","11261","d6",507.6,37
"38","11261","d7",303.1,38
"39","11261","d8",1037.9,39
"40","11261","d9",706.7,40
"41","11261","e1",226.4,41
"42","11261","e10",800.9,42
"43","11261","e2",51.5,43
"44","11261","e3",86.1,44
"45","11261","e4",265.4,45
"46","11261","e5",96.9,46
"47","11261","e6",439.2,47
"48","11261","e7",259.2,48
"49","11261","e8",732.7,49
"50","11261","e9",825.5,50
"51","11261","f1",978.7,51
"52","11261","f2",162.1,52
"53","11261","f3",670.6,53
"54","11261","f4",236.3,54
"55","11261","z1",1.5,55
"56","11261","z2",1.4,56
